"id","name","height","weight","genus","description"
1,"Bulbasaur",7,69,"Seed Pokémon","Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sun’s rays,
the seed grows progressively larger."
2,"Ivysaur",10,130,"Seed Pokémon","There is a bud on this Pokémon’s back. To support its weight,
Ivysaur’s legs and trunk grow thick and strong.
If it starts spendingx more time lying in the sunlight,
it’s a sign that the bud will bloom into a large flower soon."
3,"Venusaur",20,1000,"Seed Pokémon","There is a large flower on Venusaur’s back. The flower is said
to take on vivid colors if it gets plenty of nutrition and sunlight.
The flower’s aroma soothes the emotions of people."
4,"Charmander",6,85,"Lizard Pokémon","The flame that burns at the tip of its tail is an indication
of its emotions. The flame wavers when Charmander
is enjoying itself. If the Pokémon becomes enraged,
the flame burns fiercely."
5,"Charmeleon",11,190,"Flame Pokémon","Charmeleon mercilessly destroys its foes using its sharp
claws. If it encounters a strong foe, it turns aggressive.
In this excited state, the flame at the tip of its tail flares with
a bluish white color."
6,"Charizard",17,905,"Flame Pokémon","Charizard flies around the sky in search of powerful opponents.
It breathes fire of such great heat that it melts anything.
However, it never turns its fiery breath on any opponent
weaker than itself."
7,"Squirtle",5,90,"Tiny Turtle Pokémon","Squirtle’s shell is not merely used for protection.
The shell’s rounded shape and the grooves on its
surface help minimize resistance in water,
enabling this Pokémon to swim at high speeds."
8,"Wartortle",10,225,"Turtle Pokémon","Its tail is large and covered with a rich, thick fur. The tail
becomes increasingly deeper in color as Wartortle ages.
The scratches on its shell are evidence of this Pokémon’s
toughness as a battler."
9,"Blastoise",16,855,"Shellfish Pokémon","Blastoise has water spouts that protrude from its shell.
The water spouts are very accurate.
They can shoot bullets of water with enough accuracy
to strike empty cans from a distance of over 160 feet."
10,"Caterpie",3,29,"Worm Pokémon","It’s easy to catch, and it grows quickly, making
it one of the top recommendations for novice
Pokémon Trainers."
11,"Metapod",7,99,"Cocoon Pokémon","Its shell is hard, but it’s still just a bug shell.
It’s been known to break, so intense battles
with it should be avoided."
12,"Butterfree",11,320,"Butterfly Pokémon","When attacked by other Pokémon, it defends
itself by scattering its poisonous scales and
fluttering its wings."
13,"Weedle",3,32,"Hairy Bug Pokémon","Weedle has an extremely acute sense of smell. It is capable
of distinguishing its favorite kinds of leaves from those it
dislikes just by sniffing with its big red proboscis (nose)."
14,"Kakuna",6,100,"Cocoon Pokémon","Kakuna remains virtually immobile as it clings to a tree.
However, on the inside, it is extremely busy as it prepares
for its coming evolution.
This is evident from how hot the shell becomes to the touch."
15,"Beedrill",10,295,"Poison Bee Pokémon","Beedrill is extremely territorial. No one should ever approach
its nest—this is for their own safety. If angered, they will attack
in a furious swarm."
16,"Pidgey",3,18,"Tiny Bird Pokémon","Pidgey has an extremely sharp sense of direction.
It is capable of unerringly returning home to its nest,
however far it may be removed from its familiar surroundings."
17,"Pidgeotto",11,300,"Bird Pokémon","Pidgeotto claims a large area as its own territory. This
Pokémon flies around, patrolling its living space. If its territory
is violated, it shows no mercy in thoroughly punishing the foe
with its sharp claws."
18,"Pidgeot",15,395,"Bird Pokémon","This Pokémon has a dazzling plumage of beautifully
glossy feathers. Many Trainers are captivated by the
striking beauty of the feathers on its head, compelling
them to choose Pidgeot as their Pokémon."
19,"Rattata",3,35,"Mouse Pokémon","With their strong capacity for survival, they can
live in dirty places without concern. Left
unchecked, their numbers multiply rapidly."
20,"Raticate",7,185,"Mouse Pokémon","Its disposition is far more violent than its looks
would suggest. Don’t let your hand get too close
to its face, as it could bite your hand clean off."
21,"Spearow",3,20,"Tiny Bird Pokémon","Farmers whose fields are troubled by bug
Pokémon appreciate Spearow for its vigorous
appetite and look after it."
22,"Fearow",12,380,"Beak Pokémon","Drawings of a Pokémon resembling Fearow can
be seen in murals from deep in ancient history."
23,"Ekans",20,69,"Snake Pokémon","Ekans curls itself up in a spiral while it rests. Assuming this
position allows it to quickly respond to a threat from any
direction with a glare from its upraised head."
24,"Arbok",35,650,"Cobra Pokémon","This Pokémon is terrifically strong in order to constrict things
with its body. It can even flatten steel oil drums. Once Arbok
wraps its body around its foe, escaping its crunching embrace
is impossible."
25,"Pikachu",4,60,"Mouse Pokémon","It’s in its nature to store electricity. It feels
stressed now and then if it’s unable to fully
discharge the electricity."
26,"Raichu",8,300,"Mouse Pokémon","It becomes aggressive when it has electricity
stored up. At such times, even its Trainer has to
take care to avoid being attacked."
27,"Sandshrew",6,120,"Mouse Pokémon","It usually makes its home in deserts and arid
zones, where rain does not fall. It digs holes to
catch Bug-type Pokémon."
28,"Sandslash",10,295,"Mouse Pokémon","It uses its claws to climb trees and then curls
its body into a spiny ball, ready to drop onto
any prey that appears."
29,"Nidoran♀",4,70,"Poison Pin Pokémon","Nidoran♀ has barbs that secrete a powerful poison.
They are thought to have developed as protection for
this small-bodied Pokémon. When enraged, it releases
a horrible toxin from its horn."
30,"Nidorina",8,200,"Poison Pin Pokémon","When Nidorina are with their friends or family, they keep
their barbs tucked away to prevent hurting each other.
This Pokémon appears to become nervous if separated
from the others."
31,"Nidoqueen",13,600,"Drill Pokémon","Nidoqueen’s body is encased in extremely hard scales.
It is adept at sending foes flying with harsh tackles. This
Pokémon is at its strongest when it is defending its young."
32,"Nidoran♂",5,90,"Poison Pin Pokémon","Nidoran♂ has developed muscles for moving its ears. Thanks
to them, the ears can be freely moved in any direction. Even
the slightest sound does not escape this Pokémon’s notice."
33,"Nidorino",9,195,"Poison Pin Pokémon","Nidorino has a horn that is harder than a diamond. If it senses
a hostile presence, all the barbs on its back bristle up at once,
and it challenges the foe with all its might."
34,"Nidoking",14,620,"Drill Pokémon","Nidoking’s thick tail packs enormously destructive power.
With one swing, it can topple a metal transmission tower. Once
this Pokémon goes on a rampage, there is no stopping it."
35,"Clefairy",6,75,"Fairy Pokémon","On nights with a full moon, they gather together
and dance. The surrounding area is enveloped
in an abnormal magnetic field."
36,"Clefable",13,400,"Fairy Pokémon","According to tradition, people who see a pair
of Clefable skipping by can look forward to a
happy marriage."
37,"Vulpix",6,99,"Fox Pokémon","From its mouth spew flames that seem to
resemble the spirits of the deceased. Some
people mistakenly think this fire is a ghost."
38,"Ninetales",11,199,"Fox Pokémon","Said to live for a thousand years, this Pokémon
uses its supernatural abilities to manipulate fire.
It can burn its prey to a crisp as it pleases."
39,"Jigglypuff",5,55,"Balloon Pokémon","Jigglypuff possess a vocal range that exceeds
12 octaves, but each individual’s singing skill
depends on its own effort."
40,"Wigglytuff",10,120,"Balloon Pokémon","As it inhales, it expands...and expands...and
expands. Wigglytuff compete to see which one
can inflate itself the most."
41,"Zubat",8,75,"Bat Pokémon","When exposed to sunlight, they suffer burns.
The frequency of their ultrasonic waves can
differ slightly from colony to colony."
42,"Golbat",16,550,"Bat Pokémon","Sometimes they drink so much blood, they can’t
fly anymore. Then they fall to the ground and
become food for other Pokémon."
43,"Oddish",5,54,"Weed Pokémon","Oddish searches for fertile, nutrient-rich soil, then plants itself.
During the daytime, while it is planted, this Pokémon’s feet
are thought to change shape and become similar to the roots
of trees."
